CODESC,TIPOESC,NOMESC,DRE,DIRETORIA,SUBPREF,CEU,ENDERECO,NUMERO,BAIRRO,CEP,TEL1,TEL2,FAX,SITUACAO,CDIST,DISTRITO,SETOR,CODSEE,CODINEP,EH,NOME_ANT,T2D3D,DTURNOS,LATITUDE,LONGITUDE,REDE,DATABASE,TOTCLA,TOTALU
306343,CR.P.CONV,FRATERNIDADE IRMA AMELIA,PE,PENHA,MOOCA,,RUA NHENGAIBAS,356,VILA GRACIOSA,03160040,29653547,,,Ativa,01,AGUA RASA,0103,0181304,35181304,,"IRMA AMELIA, FRATERNIDADE",2D,INTEGR,-23578729,-46565576,CON,31/10/2016,9,117
306344,CR.P.CONV,"CHIQUINHA, IRMA",PE,PENHA,MOOCA,,RUA PROFESSOR RAUL BRIQUET,220,VILA LIBANESA,03193040,29659575,,,Ativa,01,AGUA RASA,0101,0182312,35182312,,IRMA CHIQUINHA,2D,INTEGR,-23572931,-46578155,CON,31/10/2016,12,147
306348,CR.P.CONV,MARIA APARECIDA SICA MAE DOCA - UN I,PE,PENHA,MOOCA,,RUA NOSSA SENHORA DOS ANJOS,717,CHACARA MAFALDA,03370055,26741348,26749211,26748900,Ativa,01,AGUA RASA,0102,0182321,35182321,,,2D,INTEGR,-23567493,-46556372,CON,31/10/2016,11,143
306353,CR.P.CONV,NOSSO LAR I,PE,PENHA,MOOCA,,RUA ANÁLIA FRANCO,238,VILA REGENTE FEIJÓ,03344040,20210533,,,Ativa,01,AGUA RASA,0102,0182308,35182308,,,2D,INTEGR,-23561572,-46569060,CON,31/10/2016,9,70
306354,CR.P.CONV,"JOSE, PE",PE,PENHA,MOOCA,,RUA JOAO SOARES,7,QUARTA PARADA,03175070,26053227,,,Ativa,01,AGUA RASA,0101,0182291,35182291,,,2D,INTEGR,-23553782,-46579040,CON,31/10/2016,5,59
306502,CR.P.CONV,NOSSO LAR II,PE,PENHA,MOOCA,,RUA BOM JESUS,620,VILA REGENTE FEIJÓ,03344000,29667705,,,Ativa,01,AGUA RASA,0102,0806961,35806961,,,2D,INTEGR,-23562481,-46571809,CON,31/10/2016,5,62
307996,CR.P.CONV,VILA DIVA,PE,PENHA,MOOCA,,RUA MIRANDA JORDÃO,374,CHÁCARA MAFALDA,03372010,29353927,,,Ativa,01,AGUA RASA,0102,0497162,35497162,,,2D,INTEGR,-23571102,-46555227,CON,31/10/2016,8,99
308093,CR.P.CONV,MARINHO DE ASSIS TOLEDO,PE,PENHA,MOOCA,,RUA OURINHOS,306,VILA BERTIOGA,03186040,25012236,,,Ativa,01,AGUA RASA,0101,0565234,35565234,,,2D,INTEGR,-23566509,-46579473,CON,31/10/2016,6,79
306191,CR.P.CONV,CASA DA PEQUENA IVETE,BT,BUTANTA,PINHEIROS,,RUA INHATIUM,152,ALTO DE PINHEIROS,05468160,30223059,,,Ativa,02,ALTO DE PINHEIROS,0201,0180610,35180610,,,2D,INTEGR,-23537977,-46712948,CON,31/10/2016,5,66
306194,CR.P.CONV,FRATERNIDADE MARIA DE NAZARE,BT,BUTANTA,PINHEIROS,,RUA SAO MACARIO,107,VILA MADALENA,05443040,30326510,,,Ativa,02,ALTO DE PINHEIROS,0202,0180634,35180634,,,2D,INTEGR,-23553396,-46697116,CON,31/10/2016,7,68
400306,CEI INDIR,MAE DO SALVADOR,BT,BUTANTA,PINHEIROS,,RUA DOS MACUNIS,738,VILA MADALENA,05444001,38128431,,,Ativa,02,ALTO DE PINHEIROS,0202,0180269,35180269,,,2D,INTEGR,-23555199,-46700402,CON,31/10/2016,15,174
400307,CEI INDIR,MARIA DE LOURDES FERRARINI,BT,BUTANTA,PINHEIROS,,RUA DOUTOR ALBERTO SEABRA,1127,VILA MADALENA,05452001,30215361,,,Ativa,02,ALTO DE PINHEIROS,0202,0180270,35180270,,MAE QUERIDA,2D,INTEGR,-23541602,-46706238,CON,31/10/2016,10,92
400308,CEI INDIR,PARQUE ANHANGUERA,PJ,PIRITUBA,PERUS,,RUA DIONISIO BELLANTE,419,JARDIM SANTA FE,05271150,39119000,,,Ativa,03,ANHANGUERA,0308,0182850,35182850,,,2D,INTEGR,-23431971,-46794435,CON,31/10/2016,14,146
400694,CEU CEI,PARQUE ANHANGUERA,PJ,PIRITUBA,PERUS,PARQUE ANHANGUERA,RUA PEDRO JOSÉ DE LIMA,1020,JARDIM ANHANGÜERA,05267174,39126020,,,Ativa,03,ANHANGUERA,0307,0397088,35397088,161071550000100,,2D,INTEGR,-23439951,-46787258,DIR,31/10/2016,18,222
400658,CEI INDIR,MORADA DO SOL,PJ,PIRITUBA,PERUS,,RUA EUCLIDES DA CUNHA,S/N,MORADA DO SOL,05281000,39450141,,39478846,Ativa,03,ANHANGUERA,0303,0342981,35342981,161071216000000,,2D,INTEGR,-23432881,-46778881,CON,31/10/2016,13,158
400595,CEI INDIR,SOL NASCENTE,PJ,PIRITUBA,PERUS,,ALAMEDA ARISTOTENES CLAUDIO SBRIGH,7,RESIDENCIAL SOL NASCENTE,05282000,39476664,39416651,39476664,Ativa,03,ANHANGUERA,0303,0343134,35343134,,,2D,INTEGR,-23436774,-46779039,CON,31/10/2016,14,158
308439,CR.P.CONV,FAMILIA SIAO,PJ,PIRITUBA,PERUS,,RUA MINAS GERAIS,158,JARDIM ROSINHA,05274090,39113321,,,Ativa,03,ANHANGUERA,0306,0579312,35579312,,,2D,INTEGR,-23439985,-46800422,CON,31/10/2016,11,124
308440,CR.P.CONV,FAMILIA JUDA,PJ,PIRITUBA,PERUS,,ESTRADA DE PIRAPORA,101,JARDIM JARAGUÁ,05275010,39112451,,,Ativa,03,ANHANGUERA,0306,0579324,35579324,,,2D,INTEGR,-23437015,-46805734,CON,31/10/2016,14,148
400058,CEI DIRET,"HOMERO DOMINGUES DA SILVA, VER.",PJ,PIRITUBA,PERUS,,RUA DOMENICO ASPARI,80,JARDIM BRITANIA,05269010,39166007,,39166007,Ativa,03,ANHANGUERA,0307,0238405,35238405,161071187000000,JARDIM BRITANIA,2D,INTEGR,-23433341,-46787510,DIR,31/10/2016,12,148
501311,MOVA,CAPES CENTRO ANHANGUERA DE PROMOCAO E EDUCACAO SOCIAL UNI IV,PJ,PIRITUBA,PERUS,,RUA VINÍCIUS DE MORAES,103,VILA DOS PALMARES,05273170,,,,Ativa,03,ANHANGUERA,0306,,,,CAPES CENTRO ANHANGUERA DE PROMOCAO E EDUCACA,2D,N,-23545508,-46698259,CON,31/10/2016,1,20
501312,MOVA,CAPES - CENTRO ANHAGUERA DE PROMOCAO E DUCACAO SOCIAL UNID I,PJ,PIRITUBA,PERUS,,RUA ALBERTO GENTILI,363,JARDIM SANTA FÉ (ZONA OESTE),05271130,,,,Ativa,03,ANHANGUERA,0308,,,,ALBERTO GENTILI,2D,N,-23431720,-46793852,CON,31/10/2016,1,20
501314,MOVA,CAPES - CENTRO ANHANGUERA DE PROM E EDUC SOC UNID III,PJ,PIRITUBA,PERUS,,RUA DALVA DE OLIVEIRA,84,RESIDENCIAL SOL NASCENTE,05282010,,,,Ativa,03,ANHANGUERA,0303,,,,DALVA DE OLIVEIRA,2D,N,-23437299,-46779214,CON,31/10/2016,1,20
501440,MOVA,CAPES CENTRO DE PROMOCAO E EDUC SOCIAL V,PJ,PIRITUBA,PERUS,,RUA ÁGUA FRIA DE GOIÁS,74,JARDIM MONTE BELO,05272040,,,,Ativa,03,ANHANGUERA,0306,,,,,2D,N,-23444188,-46801678,CON,31/10/2016,1,20
501442,MOVA,CAPES CENTRO ANHANGUERA DE PROM E EDUC SOCIAL,PJ,PIRITUBA,PERUS,,RUA FRANCISCO PERAZA,22,PARQUE ESPERANÇA,05266200,,,,Ativa,03,ANHANGUERA,0306,,,,,2D,N,-23444442,-46797491,CON,31/10/2016,1,20
501446,MOVA,SOCIEDADE AMIGOS DO DISTRITO DE PERUS XIII,PJ,PIRITUBA,PERUS,,RUA BARRETOS,2,SÍTIO ITABERABA I,05270020,,,,Ativa,03,ANHANGUERA,0306,,,,,2D,N,-23448043,-46797134,CON,31/10/2016,1,25
501453,MOVA,SOCIEDADE AMIGOS DO DISTRITO DE PERUS X,PJ,PIRITUBA,PERUS,,RUA DIAS GOMES,7,CONJUNTO RESIDENCIAL MORADA DO SOL,05281040,,,,Ativa,03,ANHANGUERA,0303,,,,,2D,N,-23433386,-46778340,CON,31/10/2016,1,22
700036,CEU AT COM,PARQUE ANHANGUERA,PJ,PIRITUBA,PERUS,PARQUE ANHANGUERA,RUA PEDRO JOSÉ DE LIMA,1020,JARDIM ANHANGÜERA,05267174,39126020,,,Ativa,03,ANHANGUERA,0307,0455416,35455416,,,,,-23439942,-46787258,DIR,31/10/2016,0,0
099988,EMEI,MARIA JOSE DUPRE,PJ,PIRITUBA,PERUS,,RUA PASTOR JOÃO GRECCHI,84,JARDIM SANTA FÉ (ZONA OESTE),05271290,39166494,,39166440,Ativa,03,ANHANGUERA,0308,0098450,35098450,161071188000000,,2D,MT,-23429082,-46795736,DIR,31/10/2016,16,499
094501,EMEF,PAULO PRADO,PJ,PIRITUBA,PERUS,,RUA POMPEU BERTINI,80,JARDIM SANTA FE,05271110,39110639,39166203,39166203,Ativa,03,ANHANGUERA,0308,0054653,35054653,161071192000000,PARQUE ANHANGUERA,2D,MTN,-23429883,-46792823,DIR,31/10/2016,34,1032
019205,EMEI,JARDIM MONTE BELO,PJ,PIRITUBA,PERUS,,RUA PALMEIRÓPOLIS,S/N,JARDIM MONTE BELO,05272005,39113496,39117589,39117589,Ativa,03,ANHANGUERA,0306,0271007,35271007,161071185000000,,2D,MT,-23444422,-46800494,DIR,31/10/2016,10,340
019215,EMEF,"REMO RINALDI NADDEO, PROF.",PJ,PIRITUBA,PERUS,,RUA DIONÍSIO BELLANTE,487,JARDIM SANTA FÉ (ZONA OESTE),05271150,39117746,39117772,,Ativa,03,ANHANGUERA,0308,0271019,35271019,161071193000000,MORRO DOCE,2D,MT,-23432489,-46794255,DIR,31/10/2016,28,902
019218,EMEF,JARDIM MONTE BELO,PJ,PIRITUBA,PERUS,,RUA PALMEIRÓPOLIS,S/N,JARDIM MONTE BELO,05272005,39112741,39117588,39117588,Ativa,03,ANHANGUERA,0306,0271020,35271020,161071191000000,,2D,MTN,-23444254,-46800671,DIR,31/10/2016,26,821
019224,EMEF,"MILENA BENEDICTO, PROFA",PJ,PIRITUBA,PERUS,,AVENIDA FELIPPO STURBA,25,JARDIM ANHANGÜERA,05267200,39112577,39165364,,Ativa,03,ANHANGUERA,0307,0233882,35233882,161071186000000,JARDIM BRITANIA,2D,MTN,-23438592,-46788790,DIR,31/10/2016,38,1143
019233,EMEF,EDGARD CARONE,PJ,PIRITUBA,PERUS,,RUA ELISA DINA,293,JARDIM BRITANIA,05269060,39113068,39111658,39113068,Ativa,03,ANHANGUERA,0307,0275013,35275013,161071189000000,JARDIM BRITANIA ANEXO,2D,MT,-23433445,-46790857,DIR,31/10/2016,13,410
019351,EMEF,"MARILI DIAS, PROFA",PJ,PIRITUBA,PERUS,,RUA ANTONIO CONSELHEIRO,1,VILA DOS PALMARES,05273140,39163375,39163376,,Ativa,03,ANHANGUERA,0306,0355185,35355185,161071217000000,ESTRADA DE PIRAPORA,2D,MT,-23440785,-46807445,DIR,31/10/2016,31,963
019380,CEU EMEI,PARQUE ANHANGUERA,PJ,PIRITUBA,PERUS,PARQUE ANHANGUERA,RUA PEDRO JOSÉ DE LIMA,1020,JARDIM ANHANGÜERA,05267174,39126020,39126020,,Ativa,03,ANHANGUERA,0307,0397131,35397131,161071550000300,,2D,MT,-23439942,-46787248,DIR,31/10/2016,16,513
019389,CEU EMEF,PARQUE ANHANGUERA,PJ,PIRITUBA,PERUS,PARQUE ANHANGUERA,RUA PEDRO JOSÉ DE LIMA,1020,JARDIM ANHANGÜERA,05267174,60126041,39126020,,Ativa,03,ANHANGUERA,0307,0397271,35397271,161071550000200,,2D,MTG,-23439960,-46787258,DIR,31/10/2016,32,963
019461,EMEI,MORRO DOCE,PJ,PIRITUBA,PERUS,,RUA ELISA DINA,293,JARDIM BRITANIA,05269060,39112218,,39111668,Ativa,03,ANHANGUERA,0307,0243589,35243589,161071190000000,,2D,MT,-23433879,-46791124,DIR,31/10/2016,10,318
306632,CR.P.CONV,REGINA SIMOES,PJ,PIRITUBA,PERUS,,AVENIDA DALVA DE OLIVEIRA,84,JARDIM ROSINHA,05274001,39119812,39127694,,Ativa,03,ANHANGUERA,0306,0198171,35198171,,,2D,INTEGR,-23440691,-46801216,CON,31/10/2016,8,96
306748,CR.P.CONV,AMIGUINHOS DE JESUS,PJ,PIRITUBA,PERUS,,RUA GUILHERME CORREA,35,JARDIM SANTA FÉ (ZONA OESTE),05271230,39114860,3916-2634,,Ativa,03,ANHANGUERA,0308,0295401,35295401,,,2D,INTEGR,-23429524,-46794917,CON,31/10/2016,11,143
307338,CR.P.CONV,ALDAIR MARIA,PJ,PIRITUBA,PERUS,,RUA RECIFE,1800,MORRO DOCE,05275010,39113847,,,Ativa,03,ANHANGUERA,0306,0445071,35445071,,,2D,INTEGR,-23431681,-46804099,CON,31/10/2016,9,106
308087,CR.P.CONV,"ESPERANCA, CEI",PJ,PIRITUBA,PERUS,,RUA RICARDO DALTON,399,JARDIM SANTA FÉ (ZONA OESTE),05271120,39115149,,,Ativa,03,ANHANGUERA,0308,0561538,35561538,,CEI ESPERANCA,2D,INTEGR,-23430566,-46793519,CON,31/10/2016,6,68
308074,CR.P.CONV,EVA LUIZA ROSA,PJ,PIRITUBA,PERUS,,ESTRADA CORONEL JOSÉ GLADIADOR,647,JARDIM ANHANGÜERA,05267000,39114802,39163833,,Ativa,03,ANHANGUERA,0306,0561548,35561548,,,2D,INTEGR,-23437853,-46793524,CON,31/10/2016,7,80
308066,CR.P.CONV,RAINHA DA PAZ,PJ,PIRITUBA,PERUS,,RUA FRANCISCO SOTO,78,JARDIM ANHANGÜERA,05267130,39114849,,,Ativa,03,ANHANGUERA,0307,0562026,35562026,,,2D,INTEGR,-23439675,-46793889,CON,31/10/2016,7,80
308217,CR.P.CONV,CORACAO VALENTE,PJ,PIRITUBA,PERUS,,RUA LUIZ DOMINGUES DE CASTRO,371,JARDIM ANHANGÜERA,05267100,39119143,,,Ativa,03,ANHANGUERA,0307,0570515,35570515,,,2D,INTEGR,-23441441,-46793817,CON,31/10/2016,11,133
308188,CR.P.CONV,MIRASSOL,PJ,PIRITUBA,PERUS,,RUA MIRASSOL,1,SÍTIO ITABERABA I,05270150,39160371,,,Ativa,03,ANHANGUERA,0306,0566159,35566159,,,2D,INTEGR,-23447436,-46796414,CON,31/10/2016,20,209
308192,CR.P.CONV,MARIA DO CARMO,PJ,PIRITUBA,PERUS,,RUA UBERLÂNDIA,9,RESIDENCIAL SOL NASCENTE,05280120,26546694,39153536,,Ativa,03,ANHANGUERA,0303,0567139,35567139,,,2D,INTEGR,-23436497,-46771316,CON,31/10/2016,7,69
308206,CR.P.CONV,JARDIM JARAGUA,PJ,PIRITUBA,PERUS,,RUA PRESIDENTE FÉLIX PAIVA,234,JARDIM JARAGUÁ,05265050,,,,Ativa,03,ANHANGUERA,0305,0567127,35567127,,,2D,INTEGR,-23451475,-46789514,CON,31/10/2016,13,155
308120,CR.P.CONV,FAMILIA MISSAO,PJ,PIRITUBA,PERUS,,RUA MÁRIO PALMÉRIO,348,JARDIM ANHANGÜERA,05267040,39112876,,,Ativa,03,ANHANGUERA,0306,0564862,35564862,,,2D,INTEGR,-23439181,-46792173,CON,31/10/2016,13,136
308178,CR.P.CONV,SOLAR DO AMANHECER,PJ,PIRITUBA,PERUS,,RUA FLORÊNCIO CARPI,379,JARDIM ANHANGÜERA,05267080,39166379,,,Ativa,03,ANHANGUERA,0306,0567085,35567085,,,2D,INTEGR,-23438489,-46790550,CON,31/10/2016,14,153
308385,CR.P.CONV,CONSTRUINDO O FUTURO II,PJ,PIRITUBA,PERUS,,RUA ABEL LUCAS,3,JARDIM SANTA FÉ (ZONA OESTE),05269220,,,,Ativa,03,ANHANGUERA,0307,0578393,35578393,,,2D,INTEGR,-23431186,-46788100,CON,31/10/2016,17,164
308077,CR.P.CONV,"NOVOS RUMOS, CEI",IQ,ITAQUERA,ARICANDUVA/FORMOSA/CARRAO,,RUA ANTÔNIO NETO CALDEIRA,462,VILA ANTONIETA,03475040,20592544,,,Ativa,04,ARICANDUVA,0403,0562014,35562014,,NOVOS RUMOS,2D,INTEGR,-23575427,-46516456,CON,31/10/2016,10,137
308097,CR.P.CONV,OLHAR PARA O FUTURO,IQ,ITAQUERA,ARICANDUVA/FORMOSA/CARRAO,,RUA JOÃO BATISTA LIMA,263,JARDIM NICE,03905050,20592243,20592243,,Ativa,04,ARICANDUVA,0404,0563754,35563754,,,2D,INTEGR,-23581187,-46515926,CON,31/10/2016,11,140
308014,CR.P.CONV,MULEQUE,IQ,ITAQUERA,ARICANDUVA/FORMOSA/CARRAO,,RUA CASTELO RODRIGO,296,VILA RICA,03911110,23011631,,,Ativa,04,ARICANDUVA,0404,0498531,35498531,,,2D,INTEGR,-23584906,-46518525,CON,31/10/2016,7,84
307280,CR.P.CONV,COLIBRI,IQ,ITAQUERA,ARICANDUVA/FORMOSA/CARRAO,,RUA GEDIVALDO CALIXTO DE SOUZA,158,VILA NOVA YORK,03479030,27213647,,,Ativa,04,ARICANDUVA,0403,0443487,35443487,,CASA DOS PEZINHOS,2D,INTEGR,-23574809,-46507459,CON,31/10/2016,6,85
306739,CR.P.CONV,TERESA DAVILA,IQ,ITAQUERA,ARICANDUVA/FORMOSA/CARRAO,,RUA REGO BARROS,654,JARDIM VILA FORMOSA,03460000,27247739,,,Ativa,04,ARICANDUVA,0401,0295322,35295322,,TERESA D AVILA,2D,INTEGR,-23564574,-46516534,CON,31/10/2016,7,97
306902,CR.P.CONV,DOCE LAR DO IRMAO BENEDITO,IQ,ITAQUERA,ARICANDUVA/FORMOSA/CARRAO,,RUA CAGUASSU,119,JARDIM NOVO CARRÃO,03908180,27223657,,,Ativa,04,ARICANDUVA,0404,0806973,35806973,,,2D,INTEGR,-23581142,-46503213,CON,31/10/2016,6,80
306906,CR.P.CONV,FAMILIA FRUTO FIEL,IQ,ITAQUERA,ARICANDUVA/FORMOSA/CARRAO,,RUA MINERIOS ATOMICOS,89,VILA ANTONIETA,03476020,20592932,,,Ativa,04,ARICANDUVA,0403,0391761,35391761,,,2D,INTEGR,-23577212,-46513941,CON,31/10/2016,10,116
095133,EMEF,"JOAO NAOKI SUMITA, DR.",IQ,ITAQUERA,ARICANDUVA/FORMOSA/CARRAO,,AVENIDA MONSENHOR ANTONIO CASTRO,222,JARDIM VILA FORMOSA,03461000,21547028,21541121,,Ativa,04,ARICANDUVA,0401,0054574,35054574,161076167000000,JARDIM VILA FORMOSA,2D,MT,-23571157,-46527886,DIR,31/10/2016,22,702
095141,EMEF,VICENTINA RIBEIRO DA LUZ,IQ,ITAQUERA,ARICANDUVA/FORMOSA/CARRAO,,RUA AILTON NEGRAO FAZZIO,59,PARQUE SANTO EDUARDO,03384020,27245658,27273892,,Ativa,04,ARICANDUVA,0404,0053326,35053326,161076174000000,"1,2 ESCOLA MISTA DA VILA RICA",2D,MTN,-23577944,-46522494,DIR,31/10/2016,24,659
095150,EMEF,ROQUETTE PINTO,IQ,ITAQUERA,ARICANDUVA/FORMOSA/CARRAO,,RUA PROFESSORA ALZIRA DE OLIVEIRA GILIOLI,32,JARDIM NICE,03905090,22163864,29161022,,Ativa,04,ARICANDUVA,0404,0053314,35053314,161076170000000,JARDIM IVA,2D,MTNG,-23583760,-46516931,DIR,31/10/2016,30,856
095184,EMEF,SERGIO MILLIET,IQ,ITAQUERA,ARICANDUVA/FORMOSA/CARRAO,,RUA DOUTOR PAULO DE ANDRADE ARANTES,125,PARQUE MARIA LUIZA,03451090,27833463,,,Ativa,04,ARICANDUVA,0402,0054409,35054409,161076172000000,ESCOLAS AGRUPADAS DO PARQUE MARIA LUIZA,2D,MT,-23557544,-46516969,DIR,31/10/2016,23,745
092118,EMEI,"NEYL GOMEZ MARTIN, PROFA.",IQ,ITAQUERA,ARICANDUVA/FORMOSA/CARRAO,,RUA MIGUEL BASTOS SOARES,275,JARDIM CATARINA,03910000,21541057,,21541124,Ativa,04,ARICANDUVA,0404,0085534,35085534,161076166000000,JARDIM IVA,2D,MT,-23584207,-46516604,DIR,31/10/2016,11,280
092134,EMEI,"OLANDYA PERES RIBEIRO, PROFA.",IQ,ITAQUERA,ARICANDUVA/FORMOSA/CARRAO,,RUA MARIANO CURSINO DE MOURA,395,PARQUE MARIA LUIZA,03451000,27831220,,27830893,Ativa,04,ARICANDUVA,0402,0084268,35084268,161076169000000,PARQUE MARIA LUIZA,2D,MT,-23558179,-46516344,DIR,31/10/2016,12,362
501413,MOVA,COMUNIDADE CRISTA DO AVIVAMENTO PLENO,IQ,ITAQUERA,ARICANDUVA/FORMOSA/CARRAO,,RUA REFINARIA PRESIDENTE BERNARDES,238,VILA ANTONIETA,03475000,,,,Ativa,04,ARICANDUVA,0403,,,,INST PAULISTA DE EDUC - MOR E PROM SOC NOVOS,2D,TN,-23573113,-46518031,CON,31/10/2016,2,53
400050,CEI DIRET,"GABRIEL NOGUEIRA DE QUADROS, VER.",IQ,ITAQUERA,ARICANDUVA/FORMOSA/CARRAO,,RUA LAGOA SECA,67,JARDIM RECORD,03462100,29169195,21546212,,Ativa,04,ARICANDUVA,0401,0237930,35237930,161076171000000,JARDIM RECORD,2D,INTEGR,-23574981,-46526780,DIR,31/10/2016,11,128
400036,CEI DIRET,"CORYNTHO BALDOINO DA COSTA FILHO, VER",IQ,ITAQUERA,ARICANDUVA/FORMOSA/CARRAO,,RUA JÚLIO PARIGOT,203,VILA ANTONIETA,03478007,27247725,27247418,27247725,Ativa,04,ARICANDUVA,0403,0237966,35237966,161076168000000,VILA ANTONIETA,2D,INTEGR,-23568514,-46515421,DIR,31/10/2016,10,117
400071,CEI DIRET,"DANIELLE MONTEIRO, GCMF",IQ,ITAQUERA,ARICANDUVA/FORMOSA/CARRAO,,RUA SENADOR HENRIQUE NOVAES,310,JARDIM CAGUASSU,03906000,27253445,,27222741,Ativa,04,ARICANDUVA,0404,0237954,35237954,161076173000000,JARDIM CATARINA,2D,INTEGR,-23582274,-46512746,DIR,31/10/2016,10,116
400606,CEI INDIR,ARICANDUVA,IQ,ITAQUERA,ARICANDUVA/FORMOSA/CARRAO,,AVENIDA ARICANDUVA,11555,VILA ARICANDUVA,03527000,29629569,,,Ativa,04,ARICANDUVA,0402,0307889,35307889,,,2D,INTEGR,-23595679,-46466359,CON,31/10/2016,14,172
400309,CEI INDIR,JARDIM SANTO EDUARDO,IQ,ITAQUERA,ARICANDUVA/FORMOSA/CARRAO,,RUA LOURENÇO SILVA ARAÚJO E AMAZONAS,275,PARQUE SANTO EDUARDO,03384010,27245131,,,Ativa,04,ARICANDUVA,0404,0182333,35182333,,,2D,INTEGR,-23578229,-46522097,CON,31/10/2016,16,166
400310,CEI INDIR,ANA MARIA NACINOVIC CORREA,IQ,ITAQUERA,ARICANDUVA/FORMOSA/CARRAO,,RUA RUFINO FERNANDES INIVARRI,400,CONJUNTO HABITACIONAL BARREIRA GRANDE,03907020,27223163,,,Ativa,04,ARICANDUVA,0404,0182345,35182345,,VILA NOVA YORK,2D,INTEGR,-23585525,-46505455,CON,31/10/2016,13,162
400311,CEI INDIR,JARDIM SAO NICOLAU,PE,PENHA,PENHA,,RUA BROOK TAYLOR,386,JARDIM NORDESTE,03690000,34598271,,,Ativa,05,ARTUR ALVIM,0505,0181729,35181729,,,2D,INTEGR,-23527060,-46477223,CON,31/10/2016,12,147
400312,CEI INDIR,JARDIM NORDESTE,PE,PENHA,PENHA,,RUA PARATIBA,680,JARDIM NORDESTE,03688010,20474254,,,Ativa,05,ARTUR ALVIM,0505,0181742,35181742,,,2D,INTEGR,-23527466,-46482451,CON,31/10/2016,14,158
